,genes
1195,BEST4
1196,BET1
1197,BET1L
1198,BEX1
1199,BEX2
1200,BEX4
1201,BFAR
1202,BFSP1
1203,BFSP2
1204,BGN
1205,BHLHB9
1206,BHLHE22
1207,BHLHE23
1208,BHLHE40
1209,BHLHE41
1210,BHMT
1211,BHMT2
1212,BICC1
1213,BICD1
1214,BICD2
1215,BID
1216,BIK
1217,BIN1
1218,BIN2
1219,BIN3
1220,BIRC2
1221,BIRC3
1222,BIRC6
1223,BIRC7
1224,BIVM
1225,BLCAP
1226,BLK
1227,BLM
1228,BLMH
1229,BLNK
1230,BLOC1S2
1231,BLOC1S3
1232,BLVRA
1233,BLVRB
1234,BLZF1
1235,BMF
1236,BMI1
1237,BMP1
1238,BMP10
1239,BMP15
1240,BMP2
1241,BMP2K
1242,BMP3
1243,BMP4
1244,BMP5
1245,BMP6
1246,BMP7
1247,BMP8B
1248,BMPER
1249,BMPR1A
1250,BMPR1B
1251,BMPR2
1252,BMS1
1253,BMX
1254,BNC1
1255,BNC2
1256,BNIP3
1257,BNIP3L
1258,BNIPL
1259,BOC
1260,BOD1
1261,BOK
1262,BOLA1
1263,BOLA3
1264,BOLL
1265,BORA
1266,BPGM
1267,BPHL
1268,BPI
1269,BPIFA1
1270,BPIFA2
1271,BPIFA3
1272,BPIFB1
1273,BPIFB2
1274,BPIFB4
1275,BPIFB6
1276,BPIFC
1277,BPNT1
1278,BPTF
1279,BRAF
1280,BRAP
1281,BRAT1
1282,BRCA1
1283,BRCC3
1284,BRD1
1285,BRD2
1286,BRD3
1287,BRD4
1288,BRD8
1289,BRD9
1290,BRDT
1291,BRF1
1292,BRF2
1293,BRI3
1294,BRI3BP
1295,BRIP1
1296,BRIX1
1297,BRK1
1298,BRMS1
1299,BRMS1L
1300,BROX
1301,BRPF1
1302,BRPF3
1303,BRS3
1304,BRSK1
1305,BRSK2
1306,BRWD1
1307,BRWD3
1308,BSDC1
1309,BSG
1310,BSN
1311,BSND
1312,BSPRY
1313,BST1
1314,BST2
1315,BTAF1
1316,BTBD1
1317,BTBD10
1318,BTBD11
1319,BTBD16
1320,BTBD17
1321,BTBD18
1322,BTBD19
1323,BTBD2
1324,BTBD3
1325,BTBD6
1326,BTBD7
1327,BTBD8
1328,BTBD9
1329,BTC
1330,BTD
1331,BTF3
1332,BTF3L4
1333,BTG2
1334,BTG4
1335,BTK
1336,BTLA
1337,BTN1A1
1338,BTN2A1
1339,BTN2A2
1340,BTN3A1
1341,BTN3A2
1342,BTN3A3
1343,BTNL2
1344,BTNL3
1345,BTNL8
1346,BTNL9
1347,BTRC
1348,BUB1
1349,BUB3
1350,BUD13
1351,BUD31
1352,BVES
1353,BYSL
1354,BZW2
1355,C1D
1356,C1GALT1
1357,C1GALT1C1
1358,C1QA
1359,C1QB
1360,C1QBP
1361,C1QC
1362,C1QL1
1363,C1QTNF1
1364,C1QTNF2
1365,C1QTNF3
1366,C1QTNF4
1367,C1QTNF6
1368,C1QTNF7
1369,C1RL
1370,C1S
1371,C2CD2
1372,C2CD2L
1373,C2CD3
1374,C2CD4A
1375,C2CD4B
1376,C2CD4C
1377,C3
1378,C3AR1
1379,C4BPA
1380,C4BPB
1381,C5
1382,C5AR1
1383,C6
1384,C7
1385,C8A
1386,C8B
1387,C8G
1388,C9
1389,CA1
1390,CA10
1391,CA11
1392,CA12
1393,CA13
1394,CA14
1395,CA2
1396,CA3
1397,CA4
1398,CA5A
1399,CA5B
1400,CA6
1401,CA7
1402,CA8
1403,CA9
1404,CAB39
1405,CAB39L
1406,CABIN1
1407,CABLES1
1408,CABLES2
1409,CABP1
1410,CABP2
1411,CABP4
1412,CABP5
1413,CABP7
1414,CABS1
1415,CABYR
1416,CACHD1
1417,CACNA1A
1418,CACNA1B
1419,CACNA1C
1420,CACNA1D
1421,CACNA1E
1422,CACNA1F
1423,CACNA1G
1424,CACNA1H
1425,CACNA1I
1426,CACNA1S
1427,CACNA2D1
1428,CACNA2D2
1429,CACNA2D3
1430,CACNA2D4
1431,CACNB1
1432,CACNB2
1433,CACNB3
1434,CACNB4
1435,CACNG1
1436,CACNG2
1437,CACNG3
1438,CACNG4
1439,CACNG5
1440,CACNG6
1441,CACNG7
1442,CACNG8
1443,CACYBP
1444,CAD
1445,CADM1
1446,CADM2
1447,CADM4
1448,CADPS
1449,CADPS2
1450,CALB1
1451,CALB2
1452,CALCA
1453,CALCB
1454,CALCOCO1
1455,CALCOCO2
1456,CALCR
1457,CALCRL
1458,CALD1
1459,CALHM1
1460,CALHM2
1461,CALHM3
1462,CALM1
1463,CALML3
1464,CALML4
1465,CALML5
1466,CALML6
1467,CALN1
1468,CALR
1469,CALU
1470,CALY
1471,CAMK1
1472,CAMK1D
1473,CAMK1G
1474,CAMK2A
1475,CAMK2B
1476,CAMK2D
1477,CAMK2G
1478,CAMK2N1
1479,CAMK2N2
1480,CAMK4
1481,CAMKK2
1482,CAMKMT
1483,CAMKV
1484,CAMLG
1485,CAMP
1486,CAMSAP1
1487,CAMSAP2
1488,CAMSAP3
1489,CAMTA1
1490,CAMTA2
1491,CAND1
1492,CAND2
1493,CANT1
1494,CANX
1495,CAP1
1496,CAP2
1497,CAPG
1498,CAPN1
1499,CAPN10
1500,CAPN11
1501,CAPN12
1502,CAPN13
1503,CAPN14
1504,CAPN2
1505,CAPN5
1506,CAPN6
1507,CAPN7
1508,CAPN9
1509,CAPNS1
1510,CAPRIN1
1511,CAPS
1512,CAPS2
1513,CAPSL
1514,CAPZA1
1515,CAPZA2
1516,CAPZA3
1517,CAPZB
1518,CARD10
1519,CARD11
1520,CARD14
1521,CARD18
1522,CARD6
1523,CARD8
1524,CARD9
1525,CARHSP1
1526,CARNS1
1527,CARS2
1528,CARTPT
1529,CASC3
1530,CASD1
1531,CASK
1532,CASKIN1
1533,CASKIN2
1534,CASP1
1535,CASP10
1536,CASP12
1537,CASP14
1538,CASP2
1539,CASP3
1540,CASP4
1541,CASP5
1542,CASP6
1543,CASP7
1544,CASP8
1545,CASP9
1546,CASQ1
1547,CASQ2
1548,CASR
1549,CASS4
1550,CASZ1
1551,CAT
1552,CATSPER1
1553,CATSPER3
1554,CATSPERB
1555,CATSPERD
1556,CATSPERG
1557,CAV1
1558,CAV2
1559,CAV3
1560,CBFA2T2
1561,CBFA2T3
1562,CBFB
1563,CBL
1564,CBLB
1565,CBLC
1566,CBLL1
1567,CBLN1
1568,CBLN2
1569,CBLN3
1570,CBLN4
1571,CBR1
1572,CBR3
1573,CBR4
1574,CBS
1575,CBX1
1576,CBX2
1577,CBX3
1578,CBX4
1579,CBX5
1580,CBX6
1581,CBX7
1582,CBX8
1583,CBY1
1584,CC2D1A
1585,CC2D1B
1586,CC2D2A
1587,CCAR1
1588,CCBE1
1589,CCDC102A
1590,CCDC102B
1591,CCDC105
1592,CCDC106
1593,CCDC107
1594,CCDC110
1595,CCDC112
1596,CCDC113
1597,CCDC114
1598,CCDC115
1599,CCDC116
1600,CCDC117
1601,CCDC12
1602,CCDC120
1603,CCDC122
1604,CCDC124
1605,CCDC125
1606,CCDC126
1607,CCDC127
1608,CCDC13
1609,CCDC130
1610,CCDC134
1611,CCDC136
1612,CCDC137
1613,CCDC138
1614,CCDC14
1615,CCDC140
1616,CCDC141
1617,CCDC142
1618,CCDC146
1619,CCDC148
1620,CCDC149
1621,CCDC15
1622,CCDC150
1623,CCDC151
1624,CCDC152
1625,CCDC153
1626,CCDC154
1627,CCDC158
1628,CCDC159
1629,CCDC160
1630,CCDC167
1631,CCDC168
1632,CCDC17
1633,CCDC18
1634,CCDC22
1635,CCDC24
1636,CCDC25
1637,CCDC27
1638,CCDC28A
1639,CCDC28B
1640,CCDC3
1641,CCDC30
1642,CCDC33
1643,CCDC34
1644,CCDC39
1645,CCDC40
1646,CCDC42
1647,CCDC43
1648,CCDC47
1649,CCDC51
1650,CCDC54
1651,CCDC57
1652,CCDC59
1653,CCDC6
1654,CCDC60
1655,CCDC62
1656,CCDC63
1657,CCDC65
1658,CCDC66
1659,CCDC68
1660,CCDC69
1661,CCDC7
