,genes
4877,GRIK5
4878,GRIN1
4879,GRIN2A
4880,GRIN2C
4881,GRIN2D
4882,GRIN3A
4883,GRIN3B
4884,GRINA
4885,GRIP1
4886,GRIPAP1
4887,GRK1
4888,GRK4
4889,GRK5
4890,GRK6
4891,GRK7
4892,GRM1
4893,GRM2
4894,GRM3
4895,GRM4
4896,GRM5
4897,GRM6
4898,GRM7
4899,GRM8
4900,GRN
4901,GRP
4902,GRPEL1
4903,GRPEL2
4904,GRPR
4905,GRSF1
4906,GRTP1
4907,GRWD1
4908,GSC
4909,GSC2
4910,GSDMB
4911,GSDMC
4912,GSDMD
4913,GSG1L
4914,GSK3A
4915,GSK3B
4916,GSN
4917,GSPT1
4918,GSPT2
4919,GSR
4920,GSS
4921,GSTA1
4922,GSTA3
4923,GSTA4
4924,GSTCD
4925,GSTM3
4926,GSTM4
4927,GSTO1
4928,GSTO2
4929,GSTP1
4930,GSTZ1
4931,GSX1
4932,GTDC1
4933,GTF2A1
4934,GTF2A2
4935,GTF2B
4936,GTF2E1
4937,GTF2E2
4938,GTF2F1
4939,GTF2F2
4940,GTF2H1
4941,GTF2H3
4942,GTF2IRD1
4943,GTF3A
4944,GTF3C1
4945,GTF3C2
4946,GTF3C3
4947,GTF3C4
4948,GTF3C5
4949,GTPBP1
4950,GTPBP10
4951,GTPBP2
4952,GTPBP4
4953,GTPBP6
4954,GTPBP8
4955,GTSE1
4956,GTSF1
4957,GTSF1L
4958,GUCA1A
4959,GUCA1C
4960,GUCA2B
4961,GUCY1A2
4962,GUCY2C
4963,GUCY2D
4964,GUCY2F
4965,GUF1
4966,GUK1
4967,GULP1
4968,GUSB
4969,GXYLT1
4970,GXYLT2
4971,GYG1
4972,GYG2
4973,GYPB
4974,GYPC
4975,GYPE
4976,GYS1
4977,GYS2
4978,GZF1
4979,GZMA
4980,GZMB
4981,GZMH
4982,GZMK
4983,GZMM
4984,H6PD
4985,HAAO
4986,HABP2
4987,HABP4
4988,HACE1
4989,HACL1
4990,HADHA
4991,HADHB
4992,HAGH
4993,HAL
4994,HAMP
4995,HAND1
4996,HAND2
4997,HAO1
4998,HAO2
4999,HAPLN1
5000,HAPLN2
5001,HAPLN3
5002,HAPLN4
5003,HARBI1
5004,HARS2
5005,HAS1
5006,HAS2
5007,HAS3
5008,HAT1
5009,HAUS1
5010,HAUS2
5011,HAUS6
5012,HAUS8
5013,HAVCR1
5014,HAVCR2
5015,HAX1
5016,HBB
5017,HBD
5018,HBEGF
5019,HBM
5020,HBP1
5021,HBQ1
5022,HBS1L
5023,HBZ
5024,HCAR1
5025,HCCS
5026,HCFC1
5027,HCFC1R1
5028,HCFC2
5029,HCK
5030,HCLS1
5031,HCN1
5032,HCN2
5033,HCN4
5034,HCRT
5035,HCRTR1
5036,HCRTR2
5037,HCST
5038,HDAC1
5039,HDAC11
5040,HDAC2
5041,HDAC3
5042,HDAC4
5043,HDAC5
5044,HDAC6
5045,HDAC7
5046,HDAC8
5047,HDAC9
5048,HDC
5049,HDDC2
5050,HDDC3
5051,HDGF
5052,HDGFL1
5053,HDHD2
5054,HDHD3
5055,HDLBP
5056,HDX
5057,HEATR1
5058,HEATR3
5059,HEATR4
5060,HEATR5A
5061,HEATR5B
5062,HEATR6
5063,HEBP1
5064,HEBP2
5065,HECA
5066,HECTD1
5067,HECTD2
5068,HECTD3
5069,HECW1
5070,HECW2
5071,HEG1
5072,HELB
5073,HELQ
5074,HELZ
5075,HEMGN
5076,HEMK1
5077,HENMT1
5078,HEPACAM2
5079,HEPH
5080,HERC1
5081,HERC2
5082,HERC3
5083,HERC4
5084,HERC5
5085,HERC6
5086,HERPUD1
5087,HERPUD2
5088,HES1
5089,HES2
5090,HES5
5091,HES6
5092,HES7
5093,HESX1
5094,HEXB
5095,HEXIM1
5096,HEXIM2
5097,HEY1
5098,HEY2
5099,HEYL
5100,HFE
5101,HFM1
5102,HGD
5103,HGF
5104,HGFAC
5105,HGS
5106,HGSNAT
5107,HHAT
5108,HHEX
5109,HHIP
5110,HHIPL1
5111,HHIPL2
5112,HHLA2
5113,HIBADH
5114,HIBCH
5115,HIC1
5116,HIC2
5117,HIF1AN
5118,HIF3A
5119,HIGD1B
5120,HINFP
5121,HINT1
5122,HINT2
5123,HIP1
5124,HIP1R
5125,HIPK1
5126,HIPK2
5127,HIPK3
5128,HIPK4
5129,HIRA
5130,HIRIP3
5131,HIVEP1
5132,HIVEP2
5133,HIVEP3
5134,HJURP
5135,HK1
5136,HK2
5137,HK3
5138,HKDC1
5139,HLA-A
5140,HLA-B
5141,HLA-C
5142,HLA-DMB
5143,HLA-DOA
5144,HLA-DOB
5145,HLA-DPA1
5146,HLA-DPB1
5147,HLA-DRA
5148,HLA-E
5149,HLA-F
5150,HLA-G
5151,HLCS
5152,HLF
5153,HLTF
5154,HLX
5155,HMBOX1
5156,HMBS
5157,HMCN1
5158,HMG20A
5159,HMG20B
5160,HMGA1
5161,HMGA2
5162,HMGB1
5163,HMGB2
5164,HMGB3
5165,HMGB4
5166,HMGCL
5167,HMGCLL1
5168,HMGCR
5169,HMGCS1
5170,HMGCS2
5171,HMGN1
5172,HMGN3
5173,HMGN4
5174,HMGN5
5175,HMGXB3
5176,HMGXB4
5177,HMMR
5178,HMOX1
5179,HMOX2
5180,HMX1
5181,HMX2
5182,HNF1A
5183,HNF4A
5184,HNF4G
5185,HNMT
5186,HNRNPA0
5187,HNRNPA1L2
5188,HNRNPA2B1
5189,HNRNPA3
5190,HNRNPAB
5191,HNRNPC
5192,HNRNPD
5193,HNRNPF
5194,HNRNPH1
5195,HNRNPH2
5196,HNRNPH3
5197,HNRNPK
5198,HNRNPM
5199,HNRNPR
5200,HNRNPU
5201,HNRNPUL1
5202,HOMER1
5203,HOMER2
5204,HOMER3
5205,HOOK1
5206,HOOK2
5207,HOOK3
5208,HOPX
5209,HORMAD1
5210,HOXA1
5211,HOXA11
5212,HOXA13
5213,HOXA2
5214,HOXA3
5215,HOXA7
5216,HOXB1
5217,HOXB13
5218,HOXB2
5219,HOXB3
5220,HOXC11
5221,HOXC12
5222,HOXC13
5223,HOXD1
5224,HOXD10
5225,HOXD12
5226,HOXD13
5227,HOXD3
5228,HOXD8
5229,HOXD9
5230,HP1BP3
5231,HPCA
5232,HPCAL1
5233,HPCAL4
5234,HPD
5235,HPDL
5236,HPGD
5237,HPGDS
5238,HPN
5239,HPR
5240,HPRT1
5241,HPS1
5242,HPS3
5243,HPS4
5244,HPS5
5245,HPS6
5246,HPSE
5247,HPSE2
5248,HPX
5249,HR
5250,HRAS
5251,HRC
5252,HRCT1
5253,HRG
5254,HRH1
5255,HRH2
5256,HRH3
5257,HRH4
5258,HRK
5259,HS1BP3
5260,HS2ST1
5261,HS3ST1
5262,HS3ST2
5263,HS3ST3B1
5264,HS3ST4
5265,HS3ST5
5266,HS6ST3
5267,HSBP1
5268,HSCB
5269,HSD11B1
5270,HSD11B2
5271,HSD17B1
5272,HSD17B10
5273,HSD17B12
5274,HSD17B14
5275,HSD17B2
5276,HSD17B3
5277,HSD17B4
5278,HSD3B1
5279,HSD3B2
5280,HSD3B7
5281,HSDL1
5282,HSDL2
5283,HSF1
5284,HSF2
5285,HSF2BP
5286,HSF4
5287,HSF5
5288,HSH2D
5289,HSP90AA1
5290,HSP90AB1
5291,HSP90B1
5292,HSPA12A
5293,HSPA12B
5294,HSPA13
5295,HSPA14
5296,HSPA1L
5297,HSPA2
5298,HSPA4
5299,HSPA4L
5300,HSPA5
5301,HSPA8
5302,HSPA9
5303,HSPB11
5304,HSPB3
5305,HSPB6
5306,HSPB7
5307,HSPB8
5308,HSPBAP1
5309,HSPBP1
5310,HSPD1
5311,HSPE1
5312,HSPG2
5313,HSPH1
5314,HTATIP2
5315,HTATSF1
5316,HTN1
5317,HTN3
5318,HTR1B
5319,HTR1D
5320,HTR1E
5321,HTR1F
5322,HTR2A
5323,HTR2B
5324,HTR2C
5325,HTR3B
5326,HTR3C
5327,HTR5A
5328,HTR6
5329,HTR7
5330,HTRA1
5331,HTRA2
5332,HTRA3
5333,HTRA4
5334,HTT
5335,HUNK
5336,HUS1
5337,HUWE1
5338,HVCN1
5339,HYAL1
5340,HYAL2
5341,HYAL4
5342,HYDIN
5343,HYI
5344,HYLS1
5345,HYOU1
5346,IAH1
5347,IAPP
5348,IARS2
5349,IBA57
5350,IBTK
5351,ICA1
5352,ICA1L
5353,ICAM1
5354,ICAM2
5355,ICAM3
5356,ICAM4
5357,ICAM5
5358,ICMT
5359,ICOS
5360,ICOSLG
5361,ID1
5362,ID2
5363,ID3
5364,ID4
5365,IDE
5366,IDH1
5367,IDH2
5368,IDH3A
5369,IDH3B
5370,IDH3G
5371,IDI1
5372,IDI2
5373,IDO1
5374,IDO2
5375,IDS
5376,IDUA
5377,IER2
5378,IER3
5379,IER3IP1
5380,IER5
5381,IER5L
5382,IFFO1
5383,IFI16
5384,IFI27
5385,IFI27L1
5386,IFI27L2
5387,IFI30
5388,IFI35
5389,IFI44
5390,IFI44L
5391,IFIH1
5392,IFIT1
5393,IFIT2
5394,IFIT3
5395,IFIT5
5396,IFITM10
5397,IFITM2
5398,IFITM3
5399,IFNA14
5400,IFNA16
5401,IFNA2
5402,IFNA21
5403,IFNA4
5404,IFNA5
5405,IFNA6
5406,IFNA7
5407,IFNA8
5408,IFNAR1
5409,IFNB1
5410,IFNG
5411,IFNGR1
5412,IFNGR2
5413,IFNK
5414,IFNW1
5415,IFRD1
5416,IFRD2
5417,IFT122
5418,IFT140
5419,IFT172
5420,IFT20
5421,IFT27
5422,IFT52
5423,IFT57
5424,IFT74
5425,IFT81
5426,IFT88
5427,IGBP1
5428,IGDCC3
5429,IGDCC4
5430,IGF1
5431,IGF1R
5432,IGF2BP1
5433,IGF2BP2
5434,IGF2BP3
5435,IGF2R
5436,IGFBP1
5437,IGFBP2
5438,IGFBP3
5439,IGFBP4
5440,IGFBP5
5441,IGFBP6
5442,IGFBPL1
5443,IGFL1
5444,IGFL2
5445,IGFLR1
5446,IGFN1
5447,IGHMBP2
5448,IGIP
5449,IGLL1
5450,IGSF1
5451,IGSF10
5452,IGSF11
5453,IGSF21
5454,IGSF3
5455,IGSF5
5456,IGSF6
5457,IGSF8
5458,IGSF9
5459,IGSF9B
5460,IHH
5461,IK
5462,IKBKB
5463,IKZF1
5464,IKZF3
5465,IKZF4
5466,IKZF5
5467,IL10
5468,IL10RA
5469,IL10RB
5470,IL11
5471,IL11RA
5472,IL12A
5473,IL12B
5474,IL12RB1
5475,IL12RB2
5476,IL13
5477,IL13RA1
5478,IL13RA2
5479,IL15
5480,IL15RA
5481,IL16
5482,IL17A
5483,IL17B
5484,IL17C
5485,IL17D
5486,IL17F
5487,IL17RA
5488,IL17RB
5489,IL17RC
5490,IL17RD
5491,IL17RE
5492,IL18
5493,IL18BP
5494,IL18R1
5495,IL18RAP
5496,IL19
5497,IL1A
5498,IL1B
5499,IL1F10
5500,IL1R1
5501,IL1R2
5502,IL1RAPL1
5503,IL1RAPL2
5504,IL1RL2
5505,IL1RN
5506,IL2
5507,IL20
5508,IL20RA
5509,IL20RB
5510,IL21
5511,IL21R
5512,IL22
5513,IL22RA1
5514,IL22RA2
5515,IL23A
5516,IL23R
5517,IL24
5518,IL25
5519,IL26
5520,IL27
5521,IL27RA
5522,IL2RA
5523,IL2RB
5524,IL2RG
5525,IL3
5526,IL31RA
5527,IL33
5528,IL34
5529,IL36A
5530,IL36B
5531,IL36G
5532,IL36RN
5533,IL37
5534,IL3RA
5535,IL4
5536,IL4R
5537,IL5
5538,IL5RA
5539,IL6
5540,IL6R
5541,IL6ST
5542,IL7
5543,IL7R
5544,IL9
5545,IL9R
5546,ILDR1
5547,ILDR2
5548,ILF2
5549,ILF3
5550,ILK
5551,ILKAP
5552,ILVBL
5553,IMMP1L
5554,IMMP2L
5555,IMMT
5556,IMP3
5557,IMP4
5558,IMPA1
5559,IMPA2
5560,IMPACT
5561,IMPDH1
5562,IMPDH2
5563,IMPG1
5564,IMPG2
5565,INA
5566,INCENP
5567,INF2
5568,ING1
5569,ING2
5570,ING3
5571,ING4
5572,ING5
5573,INHA
5574,INHBB
5575,INHBC
5576,INHBE
5577,INO80
5578,INO80B
5579,INO80C
5580,INO80D
5581,INO80E
5582,INPP1
5583,INPP4A
5584,INPP4B
5585,INPP5A
5586,INPP5B
5587,INPP5D
5588,INPP5E
5589,INPP5F
5590,INPP5J
5591,INPP5K
5592,INPPL1
5593,INSC
5594,INSIG1
5595,INSIG2
5596,INSL3
5597,INSL4
5598,INSL5
5599,INSL6
5600,INSM1
5601,INSM2
5602,INSR
5603,INSRR
5604,INTS1
5605,INTS10
5606,INTS12
5607,INTS2
5608,INTS3
5609,INTS4
5610,INTS5
5611,INTS6
5612,INTS7
5613,INTS8
5614,INTS9
5615,INTU
5616,INVS
5617,IP6K1
5618,IP6K2
5619,IP6K3
5620,IPCEF1
5621,IPMK
5622,IPO11
5623,IPO13
5624,IPO5
5625,IPO7
5626,IPO8
5627,IPO9
5628,IPP
5629,IPPK
5630,IQCA1
5631,IQCB1
5632,IQCC
5633,IQCD
5634,IQCE
5635,IQCF2
5636,IQCF5
5637,IQCG
5638,IQCH
5639,IQCK
5640,IQGAP1
5641,IQGAP2
5642,IQGAP3
5643,IQSEC1
5644,IQSEC2
5645,IQSEC3
5646,IQUB
5647,IRAK1
5648,IRAK1BP1
5649,IRAK2
5650,IRAK3
5651,IRAK4
5652,IREB2
5653,IRF1
5654,IRF2
5655,IRF2BP1
5656,IRF2BP2
5657,IRF2BPL
5658,IRF3
5659,IRF4
5660,IRF5
5661,IRF6
5662,IRF7
5663,IRF8
5664,IRGC
5665,IRGM
5666,IRGQ
5667,IRS1
5668,IRS2
5669,IRS4
5670,IRX1
5671,IRX2
5672,IRX3
5673,IRX4
5674,IRX5
5675,ISCA2
5676,ISCU
5677,ISG15
5678,ISG20
5679,ISG20L2
5680,ISL1
5681,ISL2
5682,ISLR
5683,ISLR2
5684,ISM1
5685,ISM2
5686,ISOC1
5687,IST1
5688,ISX
5689,ISYNA1
5690,ITCH
5691,ITFG1
5692,ITFG2
5693,ITGA1
5694,ITGA10
5695,ITGA11
5696,ITGA2
5697,ITGA2B
5698,ITGA3
5699,ITGA4
5700,ITGA5
5701,ITGA6
5702,ITGA7
5703,ITGA8
5704,ITGA9
5705,ITGAD
5706,ITGAE
5707,ITGAL
5708,ITGAM
5709,ITGAV
5710,ITGAX
5711,ITGB1
5712,ITGB1BP1
5713,ITGB1BP2
5714,ITGB2
5715,ITGB3BP
5716,ITGB4
5717,ITGB5
5718,ITGB6
5719,ITGB7
5720,ITGB8
5721,ITGBL1
5722,ITIH1
5723,ITIH2
5724,ITIH3
5725,ITIH5
5726,ITIH6
5727,ITK
5728,ITLN1
5729,ITM2A
5730,ITM2B
5731,ITM2C
5732,ITPA
5733,ITPK1
5734,ITPKA
5735,ITPKB
5736,ITPKC
5737,ITPR1
5738,ITPR2
5739,ITPR3
5740,ITPRIP
5741,ITPRIPL1
5742,ITPRIPL2
5743,ITSN1
5744,ITSN2
5745,IVD
5746,IVL
5747,IVNS1ABP
5748,IWS1
5749,IYD
5750,IZUMO1
5751,IZUMO2
5752,JAG1
5753,JAG2
5754,JAGN1
5755,JAK1
5756,JAK2
5757,JAK3
5758,JAKMIP1
5759,JAKMIP2
5760,JAKMIP3
5761,JAM2
5762,JARID2
5763,JAZF1
5764,JDP2
5765,JKAMP
5766,JMJD1C
5767,JMJD4
5768,JMJD6
5769,JMJD8
5770,JMY
5771,JOSD1
5772,JOSD2
5773,JPH1
5774,JPH2
5775,JPH3
5776,JPH4
5777,JRKL
5778,JSRP1
5779,JTB
5780,JUN
5781,JUNB
5782,JUND
5783,JUP
5784,KAAG1
5785,KALRN
5786,KANK1
5787,KANK2
5788,KANK3
5789,KANK4
5790,KANSL1
5791,KANSL1L
5792,KANSL2
5793,KANSL3
5794,KAT2A
5795,KAT2B
5796,KAT5
5797,KAT6A
5798,KAT6B
5799,KAT7
5800,KAT8
5801,KATNA1
5802,KATNAL1
5803,KATNAL2
5804,KATNB1
5805,KAZALD1
5806,KAZN
5807,KBTBD11
5808,KBTBD12
5809,KBTBD2
5810,KBTBD3
5811,KBTBD4
5812,KBTBD6
5813,KBTBD7
5814,KBTBD8
5815,KCMF1
5816,KCNA1
5817,KCNA10
5818,KCNA2
5819,KCNA3
5820,KCNA4
5821,KCNA5
5822,KCNA7
5823,KCNAB1
5824,KCNAB2
5825,KCNAB3
5826,KCNB1
5827,KCNB2
5828,KCNC1
5829,KCNC2
5830,KCNC3
5831,KCNC4
5832,KCND1
5833,KCND2
5834,KCND3
5835,KCNE1
5836,KCNE2
5837,KCNE3
5838,KCNE4
5839,KCNF1
5840,KCNG1
5841,KCNG2
5842,KCNG3
5843,KCNG4
5844,KCNH1
5845,KCNH2
5846,KCNH3
5847,KCNH4
5848,KCNH5
5849,KCNH6
5850,KCNH7
5851,KCNH8
5852,KCNIP1
5853,KCNIP3
5854,KCNIP4
5855,KCNJ1
5856,KCNJ10
5857,KCNJ11
5858,KCNJ13
5859,KCNJ14
5860,KCNJ15
5861,KCNJ16
5862,KCNJ2
5863,KCNJ3
5864,KCNJ4
5865,KCNJ5
5866,KCNJ6
5867,KCNJ8
5868,KCNJ9
5869,KCNK1
5870,KCNK10
5871,KCNK12
5872,KCNK13
5873,KCNK15
5874,KCNK16
5875,KCNK17
5876,KCNK2
5877,KCNK3
5878,KCNK5
5879,KCNK6
5880,KCNK7
5881,KCNK9
5882,KCNMB1
5883,KCNMB2
5884,KCNMB3
5885,KCNMB4
5886,KCNN2
5887,KCNN3
5888,KCNN4
5889,KCNQ1
5890,KCNQ2
5891,KCNQ3
5892,KCNQ4
5893,KCNQ5
5894,KCNRG
5895,KCNS1
5896,KCNS2
5897,KCNS3
5898,KCNT1
5899,KCNT2
5900,KCNU1
5901,KCNV1
5902,KCNV2
5903,KCTD1
5904,KCTD10
5905,KCTD11
5906,KCTD12
5907,KCTD13
5908,KCTD14
5909,KCTD15
5910,KCTD16
5911,KCTD18
5912,KCTD19
5913,KCTD2
5914,KCTD20
5915,KCTD21
5916,KCTD3
5917,KCTD4
5918,KCTD5
5919,KCTD6
5920,KDELR1
5921,KDELR3
5922,KDM1A
5923,KDM1B
5924,KDM2A
5925,KDM2B
5926,KDM3A
5927,KDM3B
5928,KDM4A
5929,KDM4B
5930,KDM4C
5931,KDM4D
5932,KDM5A
5933,KDM5B
5934,KDM5C
5935,KDM5D
5936,KDM6A
5937,KDM6B
5938,KDR
5939,KDSR
5940,KEAP1
5941,KEL
5942,KERA
5943,KHDRBS1
5944,KHDRBS2
5945,KHDRBS3
5946,KHNYN
5947,KHSRP
5948,KIAA0100
5949,KIAA0232
5950,KIAA0319
5951,KIAA0319L
5952,KIAA0513
5953,KIAA0825
5954,KIAA0895
5955,KIAA0930
5956,KIAA1109
5957,KIAA1143
5958,KIAA1191
5959,KIAA1210
5960,KIAA1217
5961,KIAA1328
5962,KIAA1522
5963,KIAA1549
5964,KIAA1586
5965,KIAA1614
5966,KIAA1671
5967,KIAA1755
5968,KIAA1841
5969,KIAA1958
5970,KIAA2026
5971,KIDINS220
5972,KIF11
5973,KIF12
5974,KIF13A
5975,KIF13B
5976,KIF14
5977,KIF15
5978,KIF16B
5979,KIF17
5980,KIF18A
5981,KIF18B
5982,KIF19
5983,KIF1A
5984,KIF1B
5985,KIF1C
5986,KIF20A
5987,KIF20B
5988,KIF21A
5989,KIF21B
5990,KIF22
5991,KIF23
5992,KIF24
5993,KIF25
5994,KIF26A
5995,KIF26B
5996,KIF2B
5997,KIF2C
5998,KIF3A
5999,KIF3B
6000,KIF3C
6001,KIF4A
6002,KIF5A
6003,KIF5B
6004,KIF5C
6005,KIF6
6006,KIF7
6007,KIF9
6008,KIFAP3
6009,KIFC1
6010,KIFC2
6011,KIFC3
6012,KIN
6013,KIRREL2
6014,KIRREL3
6015,KISS1
6016,KISS1R
6017,KIT
6018,KITLG
6019,KL
6020,KLB
6021,KLC1
6022,KLC2
6023,KLC3
6024,KLC4
6025,KLF1
6026,KLF10
6027,KLF11
6028,KLF12
6029,KLF13
6030,KLF15
6031,KLF16
6032,KLF17
6033,KLF2
6034,KLF3
6035,KLF5
6036,KLF6
6037,KLF7
6038,KLF8
6039,KLF9
6040,KLHDC1
6041,KLHDC10
6042,KLHDC2
6043,KLHDC3
6044,KLHDC4
6045,KLHDC7A
6046,KLHDC7B
6047,KLHDC8A
6048,KLHDC8B
6049,KLHDC9
6050,KLHL1
6051,KLHL10
6052,KLHL11
6053,KLHL12
6054,KLHL13
6055,KLHL14
6056,KLHL15
6057,KLHL17
6058,KLHL18
6059,KLHL2
6060,KLHL20
6061,KLHL21
6062,KLHL22
6063,KLHL23
6064,KLHL24
6065,KLHL25
6066,KLHL26
6067,KLHL28
6068,KLHL29
6069,KLHL3
6070,KLHL31
6071,KLHL32
6072,KLHL34
6073,KLHL35
6074,KLHL36
6075,KLHL4
6076,KLHL5
6077,KLHL6
6078,KLHL7
6079,KLHL8
6080,KLHL9
6081,KLK1
6082,KLK10
6083,KLK11
6084,KLK12
6085,KLK13
6086,KLK14
6087,KLK15
6088,KLK2
6089,KLK3
6090,KLK4
6091,KLK5
6092,KLK6
6093,KLK7
6094,KLKB1
6095,KLRB1
6096,KLRD1
6097,KLRF1
6098,KLRG1
6099,KLRG2
6100,KMO
6101,KNDC1
6102,KNG1
6103,KNTC1
6104,KPNA1
6105,KPNA3
6106,KPNA4
6107,KPNA5
6108,KPNA6
6109,KPNB1
6110,KPTN
6111,KRAS
6112,KRBA1
6113,KRCC1
6114,KREMEN1
6115,KREMEN2
6116,KRI1
6117,KRIT1
6118,KRR1
6119,KRT1
6120,KRT10
6121,KRT12
6122,KRT13
6123,KRT14
6124,KRT15
6125,KRT19
6126,KRT2
6127,KRT20
6128,KRT23
6129,KRT24
6130,KRT25
6131,KRT27
6132,KRT3
6133,KRT31
6134,KRT32
6135,KRT33A
6136,KRT33B
6137,KRT34
6138,KRT35
6139,KRT36
6140,KRT37
6141,KRT4
6142,KRT40
6143,KRT5
6144,KRT6A
6145,KRT6B
6146,KRT7
6147,KRT71
6148,KRT72
6149,KRT73
6150,KRT74
6151,KRT75
6152,KRT76
6153,KRT77
6154,KRT78
6155,KRT79
6156,KRT8
6157,KRT80
6158,KRT82
6159,KRT84
6160,KRT85
6161,KRT9
6162,KRTAP1-1
6163,KRTAP1-5
6164,KRTAP10-11
6165,KRTAP10-12
6166,KRTAP11-1
6167,KRTAP13-1
6168,KRTAP17-1
6169,KRTAP19-1
6170,KRTAP2-1
6171,KRTAP2-2
6172,KRTAP3-1
6173,KRTAP3-2
6174,KRTAP3-3
6175,KRTAP4-1
6176,KRTAP4-11
6177,KRTAP4-12
6178,KRTAP4-2
6179,KRTAP4-3
6180,KRTAP4-4
6181,KRTAP4-5
6182,KRTAP4-8
6183,KRTAP5-8
6184,KRTAP5-9
6185,KRTAP8-1
6186,KRTAP9-3
6187,KRTAP9-4
6188,KRTCAP2
6189,KRTCAP3
6190,KRTDAP
6191,KSR2
6192,KTN1
6193,KXD1
6194,KY
6195,KYNU
6196,L1CAM
6197,L1TD1
6198,L2HGDH
6199,L3MBTL1
6200,L3MBTL2
6201,L3MBTL3
6202,L3MBTL4
6203,LACC1
6204,LACRT
6205,LACTB
6206,LACTB2
6207,LAD1
6208,LAG3
6209,LAGE3
6210,LAIR1
6211,LAIR2
6212,LALBA
6213,LAMA1
6214,LAMA3
6215,LAMA4
6216,LAMA5
6217,LAMB1
6218,LAMB2
6219,LAMB3
6220,LAMB4
6221,LAMC1
6222,LAMC2
6223,LAMC3
6224,LAMP1
6225,LAMP3
6226,LAMP5
6227,LAMTOR1
6228,LAMTOR2
6229,LAMTOR3
6230,LANCL1
6231,LANCL2
6232,LAP3
6233,LAPTM4A
6234,LAPTM4B
6235,LAPTM5
6236,LARP1
6237,LARP1B
6238,LARP4
6239,LARP4B
6240,LARP6
6241,LARP7
6242,LARS2
6243,LAS1L
6244,LASP1
6245,LAT2
6246,LATS1
6247,LATS2
6248,LAX1
6249,LAYN
6250,LBP
6251,LBR
6252,LBX1
6253,LCA5
6254,LCA5L
6255,LCAT
6256,LCE1B
6257,LCE1E
6258,LCE2B
6259,LCK
6260,LCLAT1
6261,LCMT1
6262,LCMT2
6263,LCN1
6264,LCN12
6265,LCN15
6266,LCN2
6267,LCN8
6268,LCOR
6269,LCORL
6270,LCP1
6271,LCP2
6272,LCT
6273,LCTL
6274,LDB1
6275,LDB2
6276,LDHA
6277,LDHAL6A
6278,LDHAL6B
6279,LDHB
6280,LDHC
6281,LDHD
6282,LDLR
6283,LDLRAD3
6284,LDLRAP1
6285,LDOC1
6286,LEAP2
6287,LECT2
6288,LEF1
6289,LEFTY1
6290,LEFTY2
6291,LELP1
6292,LEMD1
6293,LEMD2
6294,LEMD3
6295,LENEP
6296,LENG1
6297,LEO1
6298,LEP
6299,LEPR
6300,LEPROTL1
6301,LETM1
6302,LETM2
6303,LETMD1
6304,LFNG
6305,LGALS1
6306,LGALS12
6307,LGALS13
6308,LGALS14
6309,LGALS2
6310,LGALS3
6311,LGALS3BP
6312,LGALS4
6313,LGALS9
6314,LGALSL
6315,LGI1
6316,LGI2
6317,LGI3
6318,LGI4
6319,LGMN
6320,LGR4
6321,LGR5
6322,LGR6
6323,LGSN
6324,LHB
6325,LHCGR
6326,LHFPL1
6327,LHFPL2
6328,LHFPL3
6329,LHFPL4
6330,LHFPL5
6331,LHPP
6332,LHX2
6333,LHX3
6334,LHX4
6335,LHX5
6336,LHX6
6337,LHX8
6338,LHX9
6339,LIAS
6340,LIF
6341,LIFR
6342,LIG1
6343,LIG3
6344,LIG4
6345,LILRB1
6346,LILRB2
6347,LILRB4
6348,LILRB5
6349,LIMA1
6350,LIMCH1
6351,LIMD1
6352,LIMD2
6353,LIMK1
6354,LIMK2
6355,LIMS1
6356,LIMS2
6357,LIN28A
6358,LIN28B
6359,LIN52
6360,LIN54
6361,LIN7A
6362,LIN7B
6363,LIN7C
6364,LIN9
6365,LINGO1
6366,LINGO2
6367,LINGO3
6368,LIPA
6369,LIPC
6370,LIPE
6371,LIPF
6372,LIPG
6373,LIPH
6374,LIPI
6375,LIPJ
6376,LITAF
6377,LIX1
6378,LLGL1
6379,LLGL2
6380,LMAN1
6381,LMAN2
6382,LMAN2L
6383,LMBR1
6384,LMBR1L
6385,LMBRD1
6386,LMBRD2
6387,LMCD1
6388,LMF1
6389,LMF2
6390,LMNA
6391,LMNB1
6392,LMNB2
6393,LMO1
6394,LMO2
6395,LMO3
6396,LMO4
6397,LMO7
6398,LMOD1
6399,LMOD2
6400,LMOD3
6401,LMTK2
6402,LMTK3
6403,LMX1A
6404,LMX1B
6405,LNP1
6406,LNPEP
6407,LNX1
6408,LNX2
6409,LONP1
6410,LONP2
6411,LONRF1
6412,LONRF2
6413,LONRF3
6414,LOX
6415,LOXHD1
6416,LOXL1
6417,LOXL2
6418,LOXL3
6419,LOXL4
6420,LPA
6421,LPAR1
6422,LPAR2
6423,LPAR3
6424,LPAR4
6425,LPAR5
6426,LPAR6
6427,LPCAT1
6428,LPCAT2
6429,LPCAT3
6430,LPCAT4
6431,LPGAT1
6432,LPIN1
6433,LPIN2
6434,LPIN3
6435,LPL
6436,LPO
6437,LPP
6438,LPXN
6439,LRAT
6440,LRBA
6441,LRCH1
6442,LRCH2
6443,LRCH3
6444,LRCH4
6445,LRFN1
6446,LRFN2
6447,LRFN3
6448,LRFN4
6449,LRFN5
6450,LRG1
6451,LRGUK
6452,LRIF1
6453,LRIG1
6454,LRIG2
6455,LRIG3
6456,LRIT1
6457,LRP1
6458,LRP10
